2015,Song Of The Year,Thinking Out Loud,"Ed Sheeran & Amy Wadge, songwriters."
2014,Song Of The Year,Stay With Me (Darkchild Version),"James Napier, William Phillips & Sam Smith, songwriters. (Sam Smith)"
2013,Song Of The Year,Royals,"Joel Little & Ella Yelich O'Connor, songwriters."
2012,Song Of The Year,We Are Young,"Jack Antonoff, Jeff Bhasker, Andrew Dost & Nate Ruess, songwriters."
2011,Song Of The Year,Rolling In The Deep,"Adele & Paul Epworth, songwriters."
2010,Song Of The Year,Need You Now,"Charles Kelley, Dave Haywood, Hillary Scott & Josh Kear, songwriters. (Lady Antebellum)"
2009,Song Of The Year,Single Ladies (Put A Ring On It),"Beyoncé Knowles, Chris 'Tricky' Stewart, Kuk Harrell & Terius ""Dream"" Nash, songwriters."
2008,Song Of The Year,Viva La Vida,"Coldplay (Chris Martin, Guy Berryman, Jon Buckland & Will Champion), songwriters."
2007,Song Of The Year,Rehab,"Amy Winehouse, songwriter."
2006,Song Of The Year,Not Ready To Make Nice,"Dan Wilson, Emily Robison, Martie Maguire & Natalie Maines, songwriters."
2005,Song Of The Year,Sometimes You Can't Make It On Your Own,"U2 (Bono, Adam Clayton, Edge, Larry Mullen Jr.), songwriters."
2004,Song Of The Year,Daughters,"John Mayer, songwriter."
2003,Song Of The Year,Dance With My Father,"Luther Vandross & Richard Marx, songwriters."
2002,Song Of The Year,Don't Know Why,"Jesse Harris, songwriter."
2001,Song Of The Year,Fallin',"Alicia Keys, songwriter."
2000,Song Of The Year,Beautiful Day,"U2 (Bono, Adam Clayton, Edge, Larry Mullen Jr.), songwriter."
1999,Song Of The Year,Smooth,"Itaal Shur & Rob Thomas, songwriters."
1998,Song Of The Year,My Heart Will Go On (Love Theme From Titanic),"James Horner & Will Jennings, songwriters."
1997,Song Of The Year,Sunny Came Home,"John Leventhal & Shawn Colvin, songwriters."
1996,Song Of The Year,Change The World,"Gordon Kennedy, Tommy Sims & Wayne Kirkpatrick, songwriters."
1995,Song Of The Year,Kiss From A Rose,"Seal, songwriter."
1994,Song Of The Year,Streets Of Philadelphia,"Bruce Springsteen, songwriter."
1993,Song Of The Year,A Whole New World (Aladdin's Theme),"Alan Menken & Tim Rice, songwriters."
1992,Song Of The Year,Tears In Heaven,"Eric Clapton & Will Jennings, songwriters."
1991,Song Of The Year,Unforgettable,"Irving Gordon, songwriter."
1990,Song Of The Year,From A Distance,"Julie Gold, songwriter."
1989,Song Of The Year,Wind Beneath My Wings,"Jeff Silbar & Larry Henley, songwriters."
1988,Song Of The Year,Don't Worry Be Happy,"Bobby McFerrin, songwriter."
1987,Song Of The Year,Somewhere Out There,"Barry Mann, Cynthia Weil & James Horner, songwriters."
1986,Song Of The Year,That's What Friends Are For,"Burt Bacharach & Carole Bayer Sager, songwriters."
1985,Song Of The Year,We Are The World,"Lionel Richie & Michael Jackson, songwriters."
1984,Song Of The Year,What's Love Got To Do With It,"Graham Lyle & Terry Britten, songwriters."
1983,Song Of The Year,Every Breath You Take,"Sting, songwriter."
1982,Song Of The Year,Always On My Mind,"Johnny Christopher, Mark James & Wayne Carson, songwriters."
1981,Song Of The Year,Bette Davis Eyes,"Donna Weiss & Jackie DeShannon, songwriters."
1980,Song Of The Year,Sailing,"Christopher Cross, songwriter."
1979,Song Of The Year,What A Fool Believes,"Kenny Loggins & Michael McDonald, songwriters."
1978,Song Of The Year,Just The Way You Are,"Billy Joel, songwriter."
1977,Song Of The Year,Love Theme From A Star Is Born (Evergreen) (TIE),"Barbra Streisand, Paul Williams, songwriters."
1977,Song Of The Year,You Light Up My Life (TIE),"Joe Brooks, songwriter."
1976,Song Of The Year,I Write The Songs,"Bruce Johnston, songwriter."
1975,Song Of The Year,Send In The Clowns,"Stephen Sondheim, songwriter."
1974,Song Of The Year,The Way We Were,"Alan Bergman, Marilyn Bergman & Marvin Hamlisch, songwriters."
1973,Song Of The Year,Killing Me Softly With His Song,"Charles Fox & Norman Gimbel, songwriters."
1972,Song Of The Year,The First Time Ever I Saw Your Face,"Ewan MacColl, songwriter."
1971,Song Of The Year,You've Got A Friend,"Carole King, songwriter."
1970,Song Of The Year,Bridge Over Troubled Water,"Paul Simon, songwriter."
1969,Song Of The Year,Games People Play,"Joe South, songwriter."
1968,Song Of The Year,Little Green Apples,"Bobby Russell, songwriter."
1967,Song Of The Year,"Up, Up And Away","Jimmy L. Webb, songwriter."
1966,Song Of The Year,Michelle,"John Lennon & Paul McCartney, songwriters."
1965,Song Of The Year,"The Shadow Of Your Smile (Love Theme From ""The Sandpiper"")","Johnny Mandel & Paul Francis Webster, songwriters."
1964,Song Of The Year,"Hello, Dolly!","Jerry Herman, songwriter."
1963,Song Of The Year,Days Of Wine And Roses,"Henry Mancini & Johnny Mercer, songwriters."
1962,Song Of The Year,What Kind Of Fool Am I,"Anthony Newley & Leslie Bricusse, songwriters."
1961,Song Of The Year,Moon River,"Henry Mancini & Johnny Mercer, songwriters."
1960,Song Of The Year,Theme From Exodus,"Ernest Gold, songwriter."
1959,Song Of The Year,The Battle Of New Orleans,"Jimmy Driftwood, songwriter."
1958,Song Of The Year,Nel Blu Dipinto Di Blu (Volare),"Domenico Modugno, songwriter."
