2015,Record Of The Year,Uptown Funk,Mark Ronson,[]
2014,Record Of The Year,Stay With Me,Sam Smith,[]
2013,Record Of The Year,Get Lucky,Daft Punk,[]
2012,Record Of The Year,Somebody That I Used To Know,Gotye,[]
2011,Record Of The Year,Rolling In The Deep,Adele,[]
2010,Record Of The Year,Need You Now,Lady Antebellum,[]
2009,Record Of The Year,Use Somebody,Kings Of Leon,[]
2008,Record Of The Year,Please Read The Letter,Robert Plant,[]
2007,Record Of The Year,Rehab,Amy Winehouse,[]
2006,Record Of The Year,Not Ready To Make Nice,Dixie Chicks,[]
2005,Record Of The Year,Boulevard Of Broken Dreams,Green Day,[]
2004,Record Of The Year,Here We Go Again,Ray Charles,[]
2003,Record Of The Year,Clocks,Coldplay,[]
2002,Record Of The Year,Don't Know Why,Norah Jones,[]
2001,Record Of The Year,Walk On,U2,[]
2000,Record Of The Year,Beautiful Day,U2,[]
1999,Record Of The Year,Smooth,Santana,[]
1998,Record Of The Year,My Heart Will Go On (Love Theme From Titanic),Celine Dion,[]
1997,Record Of The Year,Sunny Came Home,Shawn Colvin,[]
1996,Record Of The Year,Change The World,Eric Clapton,[]
1995,Record Of The Year,Kiss From A Rose,Seal,[]
1994,Record Of The Year,All I Wanna Do,Sheryl Crow,[]
1993,Record Of The Year,I Will Always Love You,Whitney Houston,[]
1992,Record Of The Year,Tears In Heaven,Eric Clapton,[]
1991,Record Of The Year,Unforgettable,Nat King Cole,[]
1990,Record Of The Year,Another Day In Paradise,Phil Collins,[]
1989,Record Of The Year,Wind Beneath My Wings,Bette Midler,[]
1988,Record Of The Year,Don't Worry Be Happy,Bobby McFerrin,[]
1987,Record Of The Year,Graceland,Paul Simon,[]
1986,Record Of The Year,Higher Love,Steve Winwood,[]
1985,Record Of The Year,We Are The World (arr. for orchestra): We Are The World,Peter Breiner,[]
1984,Record Of The Year,What's Love Got To Do With It,Tina Turner,[]
1983,Record Of The Year,Beat It,Michael Jackson,[]
1982,Record Of The Year,Rosanna,Toto,[]
1981,Record Of The Year,Bette Davis Eyes,Kim Carnes,[]
1980,Record Of The Year,Sailing,Christopher Cross,[]
1979,Record Of The Year,What A Fool Believes,The Doobie Brothers,[]
1978,Record Of The Year,Just The Way You Are,Billy Joel,[]
1977,Record Of The Year,Hotel California,Eagles,[]
1976,Record Of The Year,This Masquerade,George Benson,[]
1975,Record Of The Year,Love Will Keep Us Together,Captain & Tennille,[]
1974,Record Of The Year,I Honestly Love You,Olivia Newton-John,[]
1973,Record Of The Year,Killing Me Softly With His Song,Roberta Flack,[]
1972,Record Of The Year,The First Time Ever I Saw Your Face,Roberta Flack,[]
1971,Record Of The Year,It's Too Late,Carole King,[]
1970,Record Of The Year,Bridge Over Troubled Water,Simon & Garfunkel,[]
1969,Record Of The Year,Aquarius / Let The Sunshine In (The Flesh Failures) - Remastered,The 5th Dimension,[]
1968,Record Of The Year,Mrs. Robinson,Simon & Garfunkel,[]
1967,Record Of The Year,"Up, Up And Away",The 5th Dimension,[]
1966,Record Of The Year,Strangers In The Night,Frank Sinatra,[]
1965,Record Of The Year,A Taste Of Honey,Herb Alpert,[]
1964,Record Of The Year,The Girl From Ipanema,Astrud Gilberto,[]
1963,Record Of The Year,Days Of Wine And Roses (Vocal) - 1995 Remastered,Henry Mancini,[]
1962,Record Of The Year,I Left My Heart In San Francisco,Tony Bennett,[]
1961,Record Of The Year,Moon River,Henry Mancini,[]
1960,Record Of The Year,The Theme From “A Summer Place”,Percy Faith,[]
1959,Record Of The Year,Mack The Knife,Bobby Darin,[]
1958,Record Of The Year,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,[]
